YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List,
2002,Journalist,2002-01-24,Media,Sebastian Junger,
2002,journalist,2002-01-28,Media,Ron Insana,
2002,novelist,2002-01-29,Media,Elmore Leonard,
2002,journalist,2002-01-30,Media,John King,
2002,actor,2002-01-31,Acting,Jason Schwartzman,
2002,actress,2002-01-08,Acting,Anjelica Huston,
2002,actor,2002-01-09,Acting,Luke Wilson,
2002,actor,2002-10-01,Acting,Patrick Dempsey,
2002,Host,2002-10-10,Media,Oliver North,
2002,NA,2002-10-14,NA,Road to Washington Special,
2002,news anchor,2002-10-15,media,Judy Woodruff,
2002,Comedian,2002-10-16,Comedy,Richard Lewis,
2002,actor,2002-10-17,Acting,Greg Kinnear,
2002,actor,2002-10-02,Acting,David Schwimmer,
2002,former american senator,2002-10-28,Politician,John Edwards,
2002,assistant secretary of defense,2002-10-29,Government,Victoria Clarke,
2002,actress,2002-10-03,Acting,Rita Wilson,
2002,Former Assistant to the President for Communications,2002-10-30,Political Aide,Pat Buchanan,
2002,Broadcaster,2002-10-31,Media,Ted Koppel,
2002,actor,2002-10-07,Acting,Jake Gyllenhaal,
2002,actress,2002-10-08,Acting,Jill Hennessy,
2002,Journalist,2002-10-09,Media,Peter Jennings,
2002,journalist,2002-11-12,Media,Alexandra Pelosi,
2002,actor,2002-11-13,Acting,Kiefer Sutherland,
2002,actor,2002-11-14,Acting,Tom Arnold,
2002,rapper,2002-11-18,Musician,Ja Rule,
2002,former us representativ,2002-11-19,Politician,Harold Ford,
2002,journalist,2002-11-20,Media,Catherine Crier,
2002,actor,2002-11-21,Acting,Kevin James,
2002,singer-songwriter,2002-11-04,Musician,Christina Aguilera,
2002,us senator,2002-11-05,Politician,John McCain,
2002,news anchor,2002-11-06,media,Candy Crowley,
2002,singer-songwriter,2002-11-07,Musician,Jakob Dylan,
2002,Journalist,2002-12-10,Media,Tom Brokaw,
2002,actress,2002-12-11,Acting,Sandra Bullock,
2002,actress,2002-12-12,Acting,Anna Paquin,
2002,us senator,2002-12-16,Politician,Charles Schumer,
2002,basketball player,2002-12-17,Athletics,Charles Barkley,
2002,actor,2002-12-18,Acting,Edward Norton,
2002,actor,2002-12-19,Acting,John Cusack,
2002,actor,2002-12-02,Acting,Andy Richter,
2002,editor,2002-12-03,Media,Katrina vanden Heuvel,
2002,stand-up comedian,2002-12-04,Comedy,Colin Quinn,
2002,actor,2002-12-05,Acting,Rob Schneider,
2002,former vice president,2002-12-09,Politician,Al Gore,
2002,actor,2002-02-11,Acting,Scott Bakula,
2002,television personality,2002-02-12,Media,John Stossel,
2002,activist,2002-02-13,Advocacy,Ralph Nader,
2002,actress,2002-02-14,Acting,Rebecca Romijn,
2002,actress,2002-02-19,Acting,Jeri Ryan,
2002,editor,2002-02-20,Media,Bethany McLean,
2002,Filmmaker,2002-02-21,Media,Michael Moore,
2002,Film director,2002-02-04,Media,Ron Howard,
2002,commentator,2002-02-05,Media,Greta Van Susteren,
2002,rapper,2002-02-06,Musician,LL Cool J,
2002,singer-songwriter,2002-02-07,Musician,Barry Manilow,
2002,actress,2002-03-11,Acting,Bea Arthur,
2002,actor,2002-03-12,Acting,Denis Leary,
2002,journalist,2002-03-13,Media,Joe Klein,
2002,television host,2002-03-14,Media,Bill O'Reilly,
2002,actor,2002-03-18,Acting,Andy Richter,
2002,us senator,2002-03-19,Politician,John McCain,
2002,actor,2002-03-20,Acting,John Leguizamo,
2002,actor,2002-03-21,Acting,Aidan Quinn,
2002,journalist,2002-03-04,Media,David Remnick,
2002,Comedian,2002-03-05,Comedy,Richard Lewis,
2002,actress,2002-03-06,Acting,Milla Jovovich,
2002,actor,2002-03-07,Acting,Tom Arnold,
2002,Journalist,2002-04-01,Media,Paula Zahn,
2002,actress,2002-04-10,Acting,Patricia Arquette,
2002,rock band,2002-04-11,Musician,The Goo Goo Dolls,
2002,actor,2002-04-15,Acting,Samuel L. Jackson,
2002,editor,2002-04-16,Media,Lisa Beyer,
2002,Model,2002-04-17,Media,Tara Reid,
2002,actor,2002-04-18,Acting,Richard Dreyfuss,
2002,journalist,2002-04-02,Media,David Brock,
2002,actor,2002-04-22,Acting,Michael Clarke Duncan,
2002,actor,2002-04-23,Acting,Beau Bridges,
2002,singer-songwriter,2002-04-24,Musician,Elvis Costello,
2002,journalist,2002-04-25,Media,H.W. Crocker III,
2002,editor,2002-04-29,Media,Susan Caskie,
2002,actor,2002-04-03,Acting,Jon Favreau,
2002,singer-songwriter,2002-04-30,Musician,Alanis Morissette,
2002,actress,2002-04-04,Acting,Ashley Judd,
2002,actor,2002-04-08,Acting,Tony Danza,
2002,news anchor,2002-04-09,media,Judy Woodruff,
2002,Broadcaster,2002-05-01,Media,Robin Roberts,
2002,Singer-songwriter,2002-05-13,Musician,Moby,
2002,actor,2002-05-14,Acting,Liev Schreiber,
2002,actor,2002-05-15,Acting,Rupert Everett,
2002,actress,2002-05-16,Acting,Allison Janney,
2002,actor,2002-05-02,Acting,Willem Dafoe,
2002,NA,2002-05-23,NA,Matt Walsh Goes To Hawaii,
2002,actor,2002-05-06,Acting,Simon Baker,
2002,Writer,2002-05-07,Media,Mark Bowden,
2002,actress,2002-05-08,Acting,Diane Lane,
2002,actor,2002-05-09,Acting,David Boreanaz,
2002,actor,2002-06-11,Acting,Val Kilmer,
2002,Former Mayor of New York City,2002-06-12,Politician,Michael Bloomberg,
2002,author,2002-06-13,Media,Joseph Cirincione,
2002,actor,2002-06-17,Acting,Freddie Prinze Jr.,
2002,actor,2002-06-18,Acting,Christian Slater,
2002,journalist,2002-06-19,Media,Cynthia McFadden,
2002,stand-up comedian,2002-06-20,Comedy,David Cross Bob Odenkirk,
2002,actor,2002-06-20,Acting,David Cross Bob Odenkirk,
2002,actor,2002-06-24,Acting,Colin Farrell,
2002,lawyer,2002-06-25,Misc,David Scheffer,
2002,actor,2002-06-26,Acting,Paul Sorvino,
2002,soccer player,2002-06-27,Athletics,Clint Mathis,
2002,actor,2002-06-03,Acting,Colin Firth,
2002,journalist,2002-06-04,Media,Ashleigh Banfield,
2002,actor,2002-06-06,Acting,Charles Grodin,
2002,rapper,2002-07-10,Musician,Busta Rhymes,
2002,television Personality,2002-07-11,Media,Steve Irwin,
2002,actor,2002-07-15,Acting,John Ritter,
2002,actress,2002-07-16,Acting,Michelle Williams,
2002,commentator,2002-07-17,Media,Ann Coulter,
2002,actress,2002-07-18,Acting,Natasha Henstridge,
2002,actor,2002-07-22,Acting,Regis Philbin,
2002,actor,2002-07-23,Acting,Tim Blake Nelson,
2002,actor,2002-07-24,Acting,Steven Weber,
2002,actor,2002-07-25,Acting,Seth Green,
2002,actress,2002-07-29,Acting,Cynthia Nixon,
2002,actor,2002-07-30,Acting,Robert Wagner,
2002,Comedian,2002-07-31,Comedy,Martin Lawrence,
2002,actor,2002-07-08,Acting,Adam Sandler,
2002,journalist,2002-07-09,Media,John King,
2002,actor,2002-08-01,Acting,Mike Myers,
2002,actor,2002-08-12,Acting,Michael C. Hall,
2002,Critic,2002-08-13,Media,Scott Ritter,
2002,actor,2002-08-14,Acting,Kevin Nealon,
2002,Journalist,2002-08-15,Media,Rich Eisen,
2002,actor,2002-08-19,Acting,Denis Leary,
2002,journalist,2002-08-20,Media,Jim Lehrer,
2002,actor,2002-08-21,Acting,Robin Williams,
2002,actor,2002-08-22,Acting,Matthew Perry,
2002,us senator,2002-08-05,Politician,Charles Schumer,
2002,actor,2002-08-06,Acting,Antonio Banderas,
2002,actor,2002-08-07,Acting,Vin Diesel,
2002,actor,2002-08-08,Acting,Paul Rudd,
2002,actor,2002-09-10,Acting,Zach Braff,
2002,Author,2002-09-12,Media,Sarah Vowell,
2002,journalist,2002-09-16,Media,John Miller,
2002,actor,2002-09-17,Acting,Jason Lee,
2002,actor,2002-09-18,Acting,Damon Wayans,
2002,actor,2002-09-19,Acting,Djimon Hounsou,
2002,actress,2002-09-24,Acting,Kate Hudson,
2002,white house sommunications director,2002-09-25,Political Aide,George Stephanopoulos,
2002,actress,2002-09-26,Acting,Goldie Hawn,
2002,actress,2002-09-30,Acting,Bonnie Hunt,
2002,actress,2002-09-09,Acting,Lorraine Bracco,
2003,actress,2003-01-13,Acting,Kathy Bates,
2003,Filmmaker,2003-01-14,Media,Michael Moore,
2003,comedian,2003-01-15,Comedy,Dave Chappelle,
2003,former us senator,2003-01-16,Politician,Joseph Lieberman,
2003,television host,2003-01-20,Media,Merv Griffin,
2003,television producer,2003-01-21,Media,Simon Cowell,
2003,actor,2003-01-22,Acting,John C. Reilly,
2003,television host,2003-01-23,Media,Jimmy Kimmel,
2003,actress,2003-01-27,Acting,Rosie Perez,
2003,actor,2003-01-28,Acting,Sam Rockwell,
2003,journalist,2003-01-29,Media,Jeff Greenfield,
2003,actor,2003-01-30,Acting,Laurence Fishburne,
2003,actress,2003-01-07,Acting,Cameron Diaz,
2003,actor,2003-01-08,Acting,Ray Liotta,
2003,actor,2003-01-09,Acting,Philip Seymour Hoffman,
2003,actress,2003-10-01,Acting,Vivica A. Fox,
2003,actor,2003-10-02,Acting,Rob Lowe,
2003,former national security advisio\r,2003-10-20,Government,Henry Kissinger,
2003,actress,2003-10-21,Acting,Angelina Jolie,
2003,Writer,2003-10-22,Media,Walter Isaacson,
2003,actor,2003-10-23,Acting,Anthony Hopkins,
2003,actor,2003-10-27,Acting,Ted Danson,
2003,Comedian,2003-10-28,Comedy,Wanda Sykes,
2003,Stand-up comedian,2003-10-29,Comedy,Norm Macdonald,
2003,Novelist,2003-10-30,Media,Neal Pollack,
2003,Filmmaker,2003-10-06,Media,Michael Moore,
2003,actor,2003-10-07,Acting,Ronny Cox Marc Singer Robert Amstler Arianna Huffington,
2003,us senator,2003-10-08,Politician,Sen. Hillary Clinton,
2003,actor,2003-10-09,Acting,Tim Robbins,
2003,actor,2003-11-10,Acting,Will Ferrell,
2003,actor,2003-11-11,Acting,Peter Dinklage,
2003,Rapper,2003-11-12,Musician,Wyclef Jean,
2003,actor,2003-11-13,Acting,Brendan Fraser,
2003,model,2003-11-17,Media,Heidi Klum,
2003,writer,2003-11-18,Media,Bernard Goldberg,
2003,actor,2003-11-19,Acting,James Spader,
2003,actor,2003-11-20,Acting,Billy Bob Thornton,
2003,NA,2003-11-24,NA,Who are the Daily Show? Special,
2003,actor,2003-11-03,Acting,Kyle MacLachlan,
2003,Historian,2003-11-04,Academic,Michael Beschloss,
2003,stand-up comedian,2003-11-05,Comedy,Bob Newhart,
2003,actor,2003-11-06,Acting,Colin Firth,
2003,actor,2003-12-01,Acting,Adam Goldberg,
2003,us senator,2003-12-10,Politician,Sen. Zell Miller,
2003,political figure,2003-12-11,Politician,Gen. Wesley Clark,
2003,actress,2003-12-15,Acting,Maggie Gyllenhaal,
2003,actor,2003-12-16,Acting,Ben Affleck,
2003,actress,2003-12-17,Acting,Julia Stiles,
2003,actress,2003-12-18,Acting,Natalie Portman,
2003,us senator,2003-12-02,Politician,Sen. Tom Daschle,
2003,radio host,2003-12-03,Media,Alan Colmes,
2003,radio host,2003-12-03,Media,Sean Hannity,
2003,actor,2003-12-04,Acting,Alec Baldwin,
2003,actress,2003-12-08,Acting,Eva Mendes,
2003,actor,2003-12-09,Acting,Steve Buscemi,
2003,journalist,2003-02-10,Media,Joe Klein,
2003,actress,2003-02-11,Acting,Bebe Neuwirth,
2003,actor,2003-02-12,Acting,Michael Clarke Duncan,
2003,actor,2003-02-13,Acting,Ben Affleck,
2003,Journalist,2003-02-18,Media,Steve Kroft,
2003,actor,2003-02-19,Acting,Jeff Daniels,
2003,actor,2003-02-20,Acting,Luke Wilson,
2003,pastor,2003-02-03,Clergy,Doug Wilson,
2003,actress,2003-02-04,Acting,Kate Hudson,
2003,author,2003-02-05,Media,Arianna Huffington,
2003,commentator,2003-02-06,Media,David Frum,
2003,correspondent,2003-03-10,Media,Les Gelb,
2003,stand-up comedian,2003-03-11,Comedy,Colin Quinn,
2003,former majority leader,2003-03-12,Politician,Dick Gephardt,
2003,actor,2003-03-13,Acting,Tom Cavanagh,
2003,historian,2003-03-17,Academic,Eric Alterman,
2003,actor,2003-03-18,Acting,Jason Lee,
2003,foreign policy expert,2003-03-19,Academic,John Hulsman,
2003,actor,2003-03-20,Acting,Eddie Griffin,
2003,editor,2003-03-24,Media,Jim Kelly,
2003,actress,2003-03-25,Acting,Connie Nielsen,
2003,Musician,2003-03-26,Musician,Ringo Starr,
2003,actress,2003-03-27,Acting,Hilary Swank,
2003,comedian,2003-03-03,Comedy,Eric Idle,
2003,comedian,2003-03-31,Comedy,Chris Rock,
2003,Writer,2003-03-04,Media,Walter Isaacson,
2003,actor,2003-03-05,Acting,Adrien Brody,
2003,stand-up comedian,2003-03-06,Comedy,David Cross (show hosted by Stephen Colbert),
2003,writer,2003-04-01,Media,Anthony Swofford,
2003,stand-up comedian,2003-04-10,Comedy,Dennis Miller,
2003,actress,2003-04-02,Acting,Kelly Preston,
2003,Film actor,2003-04-21,Acting,Patrick Stewart,
2003,Film actress,2003-04-22,Acting,Rachel Weisz,
2003,Comedian,2003-04-23,Comedy,Richard Lewis,
2003,journalist,2003-04-24,Media,Fareed Zakaria,
2003,neurosurgeon,2003-04-28,Science,Dr Sanjay Gupta,
2003,actress,2003-04-29,Acting,Julia Louis-Dreyfus,
2003,actor,2003-04-03,Acting,Colin Farrell,
2003,actor,2003-04-30,Acting,John Malkovich,
2003,political psychologist,2003-04-07,Consultant,Martha Burk,
2003,actress,2003-04-08,Acting,Susan Sarandon,
2003,lawyer,2003-04-09,Misc,Ambassador David Scheffer,
2003,actress,2003-05-01,Acting,Famke Janssen,
2003,singer,2003-05-12,Musician,Randy Jackson,
2003,actor,2003-05-13,Acting,Joshua Jackson,
2003,historian,2003-05-14,Academic,Diane Ravitch,
2003,Journalist,2003-05-15,Media,Michael Kinsley,
2003,NA,2003-05-26,NA,Iraq - A Look Baq (or how we learned to stop reporting and love the war),
2003,NA,2003-05-26,NA,Iraq - A Look Baq (or how we learned to stop reporting and love the war),
2003,Commentator,2003-05-27,Media,William Kristol,
2003,journalist,2003-05-28,Media,Lisa Ling,
2003,journalist,2003-05-29,Media,David Halberstam,
2003,commentator,2003-05-05,Media,Chris Matthews,
2003,author,2003-05-06,Media,Caroline Kennedy,
2003,television presenter,2003-05-07,Media,Graham Norton,
2003,actor,2003-05-08,Acting,Paul Rudd,
2003,Former U.S. Representative,2003-06-10,Politician,Newt Gingrich,
2003,Journalist,2003-06-11,Media,Sidney Blumenthal,
2003,Rapper,2003-06-12,Musician,Ludacris,
2003,actor,2003-06-16,Acting,Harrison Ford,
2003,writer,2003-06-17,Media,Lewis Lapham,
2003,singer-songwriter,2003-06-18,Musician,Kelly Clarkson,
2003,actor,2003-06-19,Acting,Ron Livingston,
2003,journalist,2003-06-02,Media,Bill Hemmer,
2003,stand-up comedian,2003-06-03,Comedy,Eddie Izzard,
2003,Former United States Secretary of State,2003-06-04,Politician,Madeleine Albright,
2003,Singer,2003-06-05,Musician,Tyrese Gibson,
2003,NA,2003-06-08,NA,Looking Beyond The Show,
2003,actor,2003-06-09,Acting,Guy Pearce,
2003,american television personality,2003-07-10,Media,Carson Daly,
2003,actress,2003-07-14,Acting,Angelina Jolie,
2003,former us senator,2003-07-15,Politician,Gary Hart,
2003,actor,2003-07-16,Acting,Rowan Atkinson,
2003,Comedian,2003-07-17,Comedy,Martin Lawrence,
2003,actress,2003-07-21,Acting,Gabrielle Union,
2003,actor,2003-07-22,Acting,Scott Glenn,
2003,author,2003-07-23,Media,Dick Morris,
2003,diplomat,2003-07-24,Government,Joseph C. Wilson,
2003,television producer,2003-07-28,Media,Paul Teutul Sr. Paul Teutul Jr.,
2003,designer,2003-07-28,Media,Paul Teutul Sr. Paul Teutul Jr.,
2003,journalist,2003-07-29,Media,Brian Williams,
2003,actress,2003-07-30,Acting,Alyson Hannigan,
2003,Broadcaster,2003-07-31,Media,Soledad O'Brien,
2003,Former White House Press Secretary,2003-07-08,Political Aide,Tony Snow,
2003,author,2003-07-09,Media,Erica Jong,
2003,actor,2003-08-11,Acting,Samuel L. Jackson,
2003,actress,2003-08-12,Acting,Kim Cattrall,
2003,actor,2003-08-13,Acting,Paul Giamatti,
2003,-,2003-08-14,NA,"Again, A Look Back",
2003,columnist,2003-08-18,Media,Jim Hightower,
2003,actress,2003-08-19,Acting,Cynthia Nixon,
2003,Puzzle Creator,2003-08-20,Media,Will Shortz,
2003,former us representative,2003-08-21,Politician,Dennis Kucinich,
2003,actor,2003-08-04,Acting,Denis Leary,
2003,musician,2003-08-05,Musician,John Popper,
2003,actor,2003-08-06,Acting,Robert Duvall,
2003,television actress,2003-08-07,Acting,Tracey Ullman,
2003,NA,2003-09-01,NA,"I'm a Correspondent, Please Don't Fire Me!",
2003,actress,2003-09-10,Acting,Kate Beckinsale,
2003,NA,2003-09-11,NA,No Guest,
2003,us senator,2003-09-15,Politician,Sen. John Edwards,
2003,actor,2003-09-15,Acting,"Cuba Gooding, Jr.",
2003,Former United States Secretary of State,2003-09-16,Politician,Madeleine Albright,
2003,actor,2003-09-17,Acting,Charlie Sheen,
2003,actress,2003-09-18,Acting,Christina Ricci,
2003,actor,2003-09-23,Acting,Michael Caine,
2003,actor,2003-09-24,Acting,Ben Stiller,
2003,columnist,2003-09-25,Media,Jonah Goldberg,
2003,actor,2003-09-29,Acting,Jack Black,
2003,former us representative,2003-09-30,Politician,Joe Scarborough,
2003,united states senator,2003-09-09,Politician,Al Franken,
2004,Comedian,2004-01-12,Comedy,Richard Lewis,
2004,scientist,2004-01-13,Science,Catherine Weitz,
2004,former us senator,2004-01-14,Politician,Carol Moseley-Braun,
2004,vice president,2004-01-15,Politician,Joe Biden,
2004,actor,2004-01-19,Acting,Philip Seymour Hoffman,
2004,comedian,2004-01-20,Comedy,Jeff Garlin,
2004,us senator,2004-01-21,Politician,Sen. John McCain,
2004,actress,2004-01-22,Acting,Erika Christensen,
2004,writer,2004-01-26,Media,Ken Auletta,
2004,Political Scientist,2004-01-27,Consultant,Richard Perle,
2004,former governor of new jersey,2004-01-28,Politician,Christine Todd Whitman,
2004,actor,2004-01-29,Acting,Kelsey Grammer,
2004,Journalist,2004-01-06,Media,Tom Brokaw,
2004,actor,2004-01-07,Acting,Elijah Wood,
2004,actress,2004-01-08,Acting,Charlize Theron,
2004,us representative,2004-10-18,Politician,Ed Koch,
2004,actress,2004-10-19,Acting,Marisa Tomei,
2004,journalist,2004-10-20,Media,Fareed Zakaria,
2004,actor,2004-10-21,Acting,Billy Crudup,
2004,Former United States Secretary of State,2004-10-25,Politician,Madeleine Albright,
2004,former governor of nebraska,2004-10-26,Politician,Bob Kerrey,
2004,civil rights activist,2004-10-27,Advocacy,Jesse Jackson,
2004,author,2004-10-28,Media,John Zogby,
2004,social activist,2004-10-04,Advocacy,Bishop Desmond Tutu,
2004,actor,2004-10-05,Acting,Billy Bob Thornton,
2004,journalist,2004-10-06,Media,Bob Schieffer,
2004,television host,2004-10-07,Media,Bill O'Reilly,
2004,television host,2004-11-01,Media,Chris Wallace,
2004,Author,2004-11-10,Media,Tom Wolfe,
2004,analyst,2004-11-11,Consultant,Kenneth Pollack,
2004,former us senator,2004-11-15,Politician,Kay Bailey Hutchison,
2004,Journalist,2004-11-16,Media,Tom Brokaw,
2004,Historian,2004-11-17,Academic,Thomas Frank,
2004,actor,2004-11-18,Acting,Woody Harrelson,
2004,former govrnor of masssachusetts,2004-11-02,Politician,William Weld & Al Sharpton,
2004,minister,2004-11-02,Clergy,William Weld & Al Sharpton,
2004,actor,2004-11-29,Acting,Jude Law,
2004,us senator,2004-11-03,Politician,Sen. Charles Schumer,
2004,journalist,2004-11-30,Media,Brian Williams,
2004,Commentator,2004-11-04,Media,William Kristol,
2004,Businessman,2004-11-09,Business,Richard Branson,
2004,author,2004-12-01,Media,Christopher Hitchens,
2004,actor,2004-12-13,Acting,Kevin Spacey,
2004,diplomat,2004-12-14,Government,Dore Gold,
2004,comedian,2004-12-15,Comedy,Billy Connolly,
2004,journalist,2004-12-16,Media,Katie Couric,
2004,Author,2004-12-02,Media,Stephen King,
2004,actress,2004-12-06,Acting,Isabella Rossellini,
2004,Baseball player,2004-12-07,Athletics,Paul O'Neill,
2004,Writer,2004-12-08,Media,Seth Mnookin,
2004,actress,2004-12-09,Acting,Kate Bosworth,
2004,comedian,2004-02-10,Comedy,Dave Chappelle,
2004,actor,2004-02-11,Acting,Paul Rudd,
2004,actress,2004-02-12,Acting,Drew Barrymore,
2004,singer,2004-02-02,Musician,Randy Jackson,
2004,television Personality,2004-02-23,Media,Tyra Banks,
2004,writer,2004-02-24,Media,John Podhoretz,
2004,Singer-songwriter,2004-02-25,Musician,Norah Jones,
2004,actor,2004-02-26,Acting,Samuel L. Jackson,
2004,business magnate,2004-02-03,Business,Donald Trump,
2004,american politician,2004-02-04,Politician,Bob Dole,
2004,Film actor,2004-02-05,Acting,Noah Wyle,
2004,journalist,2004-02-09,Media,Charles Lewis,
2004,television actress,2004-03-01,Acting,Edie Falco,
2004,comedian,2004-03-10,Comedy,George Carlin,
2004,Journalist,2004-03-11,Media,Paula Zahn,
2004,us senator,2004-03-15,Politician,Sen. Charles Schumer,
2004,television personality,2004-03-16,Media,John Stossel,
2004,actor,2004-03-17,Acting,Mekhi Phifer,
2004,actor,2004-03-18,Acting,Ethan Hawke,
2004,Journalist,2004-03-02,Media,Mark Ebner,
2004,Trumpeter,2004-03-22,Musician,Wynton Marsalis,
2004,actor,2004-03-23,Acting,Tom Hanks,
2004,actor,2004-03-24,Acting,Jamie Foxx,
2004,united states senator,2004-03-25,Politician,Al Franken,
2004,actress,2004-03-29,Acting,Jennifer Beals,
2004,former mayor of new york,2004-03-03,Politician,Rudolph Giuliani,
2004,Adviser,2004-03-30,Consultant,Richard A. Clarke,
2004,public official,2004-03-31,Government,Karen Hughes,
2004,actor,2004-03-04,Acting,Willem Dafoe,
2004,actor,2004-03-08,Acting,Val Kilmer,
2004,political figure,2004-03-09,Politician,Ed Gillespie,
2004,stunt perfomrer,2004-04-01,Acting,Johnny Knoxville,
2004,Singer-songwriter,2004-04-19,Musician,Melissa Etheridge,
2004,actor,2004-04-20,Acting,Mark Ruffalo,
2004,television host,2004-04-21,Media,John Gibson,
2004,author,2004-04-22,Media,Arianna Huffington,
2004,former governor of nebraska,2004-04-26,Politician,Bob Kerrey,
2004,actress,2004-04-27,Acting,Rebecca Romijn,
2004,journalist,2004-04-28,Media,Fareed Zakaria,
2004,journalist,2004-04-29,Media,Bob Woodward,
2004,comedian,2004-04-05,Comedy,Jerry Seinfeld,
2004,actor,2004-04-06,Acting,Matthew Perry and Bruce Willis,
2004,actor,2004-04-06,Acting,Matthew Perry and Bruce Willis,
2004,actor,2004-04-07,Acting,Tim Robbins,
2004,actor,2004-04-08,Acting,Jason Bateman,
2004,us senator,2004-05-10,Politician,Sen. John McCain,
2004,journalist,2004-05-11,Media,Tim Russert,
2004,American Political figure,2004-05-12,Politician,Ken Mehlman,
2004,Commentator,2004-05-13,Media,William Kristol,
2004,film actress,2004-05-03,Acting,Janeane Garofalo,
2004,diplomat,2004-05-04,Government,Joseph C. Wilson,
2004,basketball player,2004-05-05,Athletics,Kareem Abdul-Jabbar,
2004,actor,2004-05-06,Acting,Andy Richter,
2004,stand-up comedian,2004-06-01,Comedy,David Cross,
2004,actress,2004-06-10,Acting,Jennifer Love Hewitt,
2004,actor,2004-06-14,Acting,Stanley Tucci,
2004,physician,2004-06-15,Science,Hassan Ibrahim,
2004,Former United States Secretary of Labor,2004-06-16,Politician,Robert Reich,
2004,television presenter,2004-06-17,Media,Graham Norton,
2004,journalist,2004-06-02,Media,Thomas Friedman,
2004,Columnist,2004-06-21,Media,Stephen F. Hayes,
2004,actress,2004-06-22,Acting,Ashley Judd,
2004,actor,2004-06-23,Acting,Kevin Kline,
2004,Filmmaker,2004-06-24,Media,Michael Moore,
2004,Governor of Virginia,2004-06-28,Politician,Terry McAuliffe,
2004,author,2004-06-29,Media,Edward Conlon,
2004,Former Governor of New York,2004-06-03,Politician,Mario Cuomo,
2004,journalist,2004-06-30,Media,Calvin Trillin,
2004,author,2004-06-07,Media,Donna Brazile,
2004,commentator,2004-06-08,Media,David Brooks,
2004,Documentary Filmmaker,2004-06-09,Media,Morgan Spurlock,
2004,Journalist,2004-07-12,Media,Wolf Blitzer,
2004,Journalist,2004-07-13,Media,Michael Isikoff,
2004,Author,2004-07-14,Media,Sarah Vowell,
2004,actor,2004-07-15,Acting,Sacha Baron Cohen,
2004,former governor of new mexico,2004-07-27,Politician,Gov. Bill Richardson,
2004,us senator,2004-07-28,Politician,Sen. Joe Biden,
2004,NA,2004-07-29,NA,None,
2004,NA,2004-07-30,NA,None,
2004,activist,2004-07-06,Advocacy,Ralph Nader (show hosted by Stephen Colbert),
2004,actor,2004-07-07,Acting,Will Ferrell,
2004,actress,2004-07-08,Acting,Christina Applegate,
2004,Columnist,2004-08-10,Media,Maureen Dowd,
2004,actor,2004-08-11,Acting,Tom Cruise,
2004,author,2004-08-12,Media,Bryan Keefer,
2004,Former American senator,2004-08-17,Politician,Norm Coleman,
2004,actor,2004-08-18,Acting,Burt Reynolds,
2004,actor,2004-08-19,Acting,Seth Green,
2004,us representative,2004-08-02,Politician,Rep. Henry Bonilla,
2004,musician,2004-08-23,Musician,Robert Smith,
2004,secretary of state,2004-08-24,Politician,John Kerry,
2004,political figure,2004-08-25,Politician,Ed Gillespie,
2004,Film director,2004-08-03,Media,Spike Lee,
2004,0,2004-08-30,NA,(None),
2004,Broadcaster,2004-08-31,Media,Ted Koppel,
2004,film actor,2004-08-04,Acting,Aaron Eckhart,
2004,actress,2004-08-05,Acting,Natalie Portman,
2004,us president,2004-08-09,Politician,Bill Clinton,
2004,assistant to the president for communications,2004-09-01,Political Aide,Dan Bartlett,
2004,actress,2004-09-13,Acting,Drew Barrymore,
2004,Former Assistant to the President for Communications,2004-09-14,Political Aide,Pat Buchanan,
2004,actor,2004-09-15,Acting,Alec Baldwin,
2004,actress,2004-09-16,Acting,Gwyneth Paltrow,
2004,us senator,2004-09-02,Politician,Sen. John McCain,
2004,adviser,2004-09-21,Consultant,Richard Clarke,
2004,former governor of montans,2004-09-22,Politician,Gov. Marc Racicot,
2004,actor,2004-09-23,Acting,Matthew Broderick,
2004,actress,2004-09-27,Acting,Rosie Perez,
2004,activist,2004-09-28,Advocacy,Ralph Reed,
2004,Journalist,2004-09-29,Media,Seymour Hersh,
2004,commentator,2004-09-03,Media,Chris Matthews,
2004,political figure,2004-09-30,Politician,Wesley Clark,
2004,former mayor of new york,2004-09-30,Politician,Rudolph Giuliani,
2005,lawyer,2005-01-10,Misc,John Grisham,
2005,actor,2005-01-11,Acting,Samuel L. Jackson,
2005,actor,2005-01-12,Acting,Dennis Quaid,
2005,actress,2005-01-13,Acting,Annette Bening,
2005,journalist,2005-01-17,Media,Brian Ross,
2005,writer,2005-01-18,Media,Jim Wallis,
2005,Historian,2005-01-19,Academic,Michael Beschloss,
2005,us senator,2005-01-20,Politician,Sen. Joe Lieberman,
2005,Political figure,2005-01-24,Politician,Richard Viguerie,
2005,Journalist,2005-01-25,Media,Seymour Hersh,
2005,actor,2005-01-26,Acting,John Leguizamo,
2005,former governor of new jersey,2005-01-27,Politician,Christine Todd Whitman,
2005,journalist,2005-01-31,Media,Fareed Zakaria,
2005,actor,2005-01-04,Acting,Paul Giamatti,
2005,actor,2005-01-05,Acting,Don Cheadle,
2005,historian,2005-01-06,Academic,Howard Zinn,
2005,singer-songwriter,2005-10-17,Musician,Dolly Parton,
2005,television host,2005-10-18,Media,Bill O'Reilly,
2005,us assistant attorney,2005-10-19,Government,Louis Freeh,
